date,p_model,p_pin,psw_bet,y_bet,market_edge,winner_name,loser_name,surface,kelly_stake_pct
2024-01-01,0.3598448036198162,0.3017241379310345,3.24,0,0.058120665688781714,Alexander Zverev,Stefanos Tsitsipas,Hard,3.7
2024-01-01,0.6100355049017044,0.5191815856777493,1.88,0,0.09085391922395514,Grigor Dimitrov,Holger Rune,Hard,8.34
2024-01-01,0.6895242942923248,0.5985221674876848,1.63,1,0.09100212680463993,Holger Rune,Roman Safiullin,Hard,9.84
2024-01-01,0.8610390536648757,0.7355864811133201,1.33,0,0.1254525725515555,Juncheng Shang,Frances Tiafoe,Hard,22.0
2024-01-01,0.24407368902130525,0.16954022988505735,5.78,0,0.0745334591362479,Andrey Rublev,Juncheng Shang,Hard,4.3
2024-01-01,0.8023482752417015,0.7265306122448979,1.34,1,0.07581766299680359,Andrey Rublev,Emil Ruusuvuori,Hard,11.05
2024-01-01,0.7098425119693583,0.5960591133004925,1.64,1,0.11378339866886578,Emil Ruusuvuori,Pavel Kotov,Hard,12.82
2024-01-08,0.572732027295322,0.5089514066496165,1.92,0,0.06378062064570555,Alexander Bublik,Lorenzo Musetti,Hard,5.42
2024-01-08,0.5180101698757467,0.4668367346938776,2.09,1,0.051173435181869065,Jack Draper,Tommy Paul,Hard,3.79
2024-01-08,0.8420386777319091,0.7686703096539163,1.27,0,0.07336836807799285,Alejandro Tabilo,Arthur Fils,Hard,12.85
2024-01-08,0.5432000652161311,0.48849104859335035,2.0,0,0.054709016622780715,Taro Daniel,Alexandre Muller,Hard,4.32
2024-01-15,0.28955521318618593,0.1784107946026986,5.48,0,0.11114441858348734,Alex Michelsen,James McCabe,Hard,6.55
2024-01-15,0.23104789453217994,0.1552878179384204,6.31,0,0.07576007659375955,Tommy Paul,Gregoire Barrere,Hard,4.31
2024-01-15,0.8226887647983017,0.734,1.33,1,0.08868876479830168,Miomir Kecmanovic,Yosuke Watanuki,Hard,14.27
2024-01-15,0.17005616844228472,0.0825617283950617,11.89,0,0.08749444004722301,Alexander Zverev,Dominik Koepfer,Hard,4.69
2024-01-15,0.14174544678133424,0.04686078252957249,20.95,0,0.09488466425176176,Hubert Hurkacz,Omar Jasika,Hard,4.94
2024-01-15,0.24506023168257962,0.12486064659977703,7.85,0,0.1201995850828026,Emil Ruusuvuori,Patrick Kypson,Hard,6.74
2024-01-15,0.5752292918742163,0.5115089514066495,1.91,0,0.0637203404675668,Arthur Cazaux,Laslo Djere,Hard,5.42
2024-01-15,0.7319072322187934,0.6719457013574661,1.45,1,0.05996153086132727,Felix Auger-Aliassime,Dominic Thiem,Hard,6.81
2024-01-15,0.7985737082676866,0.6934782608695652,1.41,0,0.10509544739812138,Hugo Grenier,Alexandre Muller,Hard,15.36
2024-01-15,0.24789016605121433,0.18808777429467083,5.18,0,0.059802391756543505,Alexei Popyrin,Marc Polmans,Hard,3.4
2024-01-15,0.8250351900942162,0.5544303797468354,1.76,1,0.2706048103473808,Fabian Marozsan,Marin Cilic,Hard,29.74
2024-01-15,0.7182142123954931,0.6097560975609755,1.6,0,0.10845811483451762,Aleksandar Kovacevic,Alejandro Tabilo,Hard,12.43
2024-01-15,0.8107142510077123,0.6963123644251628,1.4,1,0.11440188658254957,Francisco Cerundolo,Dane Sweeny,Hard,16.87
2024-01-15,0.2503632223463826,0.09121621621621623,10.76,0,0.15914700613016636,Sebastian Korda,Vit Kopriva,Hard,8.68
2024-01-15,0.4471280141146383,0.39268292682926825,2.49,1,0.054445087285370064,Daniel Elahi Galan,Jason Kubler,Hard,3.8
2024-01-29,0.7429982807730935,0.6440281030444965,1.52,0,0.09897017772859695,Borna Coric,Holger Rune,Hard,12.44
2024-02-05,0.6139476279669857,0.48849104859335035,2.0,0,0.1254565793736353,Marcos Giron,Adrian Mannarino,Hard,11.39
2024-02-05,0.7901094968372216,0.647196261682243,1.51,1,0.14291323515497867,Adrian Mannarino,James Duckworth,Hard,18.93
2024-02-05,0.8600011461199137,0.8067092651757188,1.21,1,0.0532918809441949,Grigor Dimitrov,Arthur Rinderknech,Hard,9.67
2024-02-05,0.6052170325499621,0.5547073791348601,1.75,1,0.05050965341510194,Luciano Darderi,Yannick Hanfmann,Clay,3.94
2024-02-05,0.7361308177256195,0.5975308641975308,1.63,0,0.13859995352808874,Facundo Bagnis,Jaume Munar,Clay,15.86
2024-02-05,0.7170257727892044,0.5810473815461346,1.68,0,0.13597839124306987,Facundo Bagnis,Federico Coria,Clay,15.04
2024-02-12,0.6637096249306584,0.5915841584158417,1.65,1,0.07212546651481677,Tommy Paul,Jordan Thompson,Hard,7.32
2024-02-12,0.22919141129943085,0.1531291611185086,6.36,0,0.07606225018092225,Taylor Fritz,Rinky Hijikata,Hard,4.27
2024-02-12,0.17290964704466982,0.07997010463378185,12.31,0,0.09293954241088798,Carlos Alcaraz,Andrea Vavassori,Clay,4.99
2024-02-19,0.7244216870209431,0.5774999999999999,1.69,0,0.14692168702094321,Jakub Mensik,Gael Monfils,Hard,16.25
2024-02-19,0.7859541595164614,0.7292929292929293,1.34,0,0.05666123022353209,Gael Monfils,Ugo Humbert,Hard,7.82
2024-02-19,0.6848950588899737,0.561712846347607,1.74,0,0.12318221254236672,Alexei Popyrin,Alexander Bublik,Hard,12.95
2024-02-19,0.2005322309301183,0.1409147095179234,6.95,0,0.059617521412194896,Stefanos Tsitsipas,Aleksandar Kovacevic,Hard,3.31
2024-02-19,0.7606081908567325,0.6976241900647947,1.4,1,0.06298400079193778,Sebastian Baez,Thiago Monteiro,Clay,8.11
2024-02-26,0.7704332079951853,0.6350710900473934,1.54,0,0.13536211794779196,Pedro Martinez,Arthur Fils,Clay,17.27
2024-02-26,0.691606667934643,0.6342042755344418,1.54,1,0.057402392400201174,Sebastian Baez,Jaume Munar,Clay,6.03
2024-02-26,0.7474456859007492,0.6822222222222223,1.43,1,0.06522346367852694,Sebastian Baez,Pedro Martinez,Clay,8.01
2024-02-26,0.6762643531238767,0.6225961538461539,1.57,1,0.05366819927772282,Sebastian Baez,Alejandro Tabilo,Clay,5.42
2024-02-26,0.6804526052182192,0.6216867469879519,1.57,1,0.058765858230267254,Alejandro Tabilo,Corentin Moutet,Clay,5.99
2024-03-04,0.6186927137860277,0.5192802056555269,1.87,1,0.09941250813050084,Constant Lestienne,Denis Kudla,Hard,9.02
2024-03-04,0.7534670757343379,0.6651376146788991,1.46,1,0.08832946105543882,Taro Daniel,Daniel Elahi Galan,Hard,10.88
2024-03-04,0.7692063506954406,0.6565420560747663,1.47,1,0.11266429462067429,Fabian Marozsan,Jurij Rodionov,Hard,13.91
2024-03-04,0.8080871370151145,0.7237113402061855,1.34,1,0.08437579680892893,Gael Monfils,Max Purcell,Hard,12.18
2024-03-04,0.589875837207402,0.5141388174807199,1.89,0,0.07573701972668212,Aleksandar Vukic,Shintaro Mochizuki,Hard,6.45
2024-03-04,0.7777951058820283,0.6873614190687362,1.41,1,0.09043368681329211,Alex Michelsen,Jaume Munar,Hard,11.79
2024-03-04,0.6956179077570119,0.5583756345177665,1.74,1,0.13724227323924543,Roman Safiullin,Daniel Evans,Hard,14.21
2024-03-04,0.7792861820884595,0.7154811715481172,1.36,1,0.06380501054034227,Borna Coric,Sebastian Ofner,Hard,8.31
2024-03-04,0.4038774935447618,0.3258426966292134,3.0,0,0.07803479691554843,Daniil Medvedev,Holger Rune,Hard,5.29
2024-03-04,0.5650873615661501,0.5,1.95,0,0.06508736156615014,Tommy Paul,Casper Ruud,Hard,5.36
2024-03-04,0.5589112386009328,0.48586118251928023,2.0,0,0.0730500560816526,Alexandre Muller,Hugo Grenier,Hard,5.89
2024-03-04,0.7310175948511437,0.655813953488372,1.48,1,0.07520364136277169,Brandon Nakashima,Christopher Eubanks,Hard,8.53
2024-03-04,0.37887055310540835,0.30567685589519655,3.18,0,0.0731936972102118,Carlos Alcaraz,Alexander Zverev,Hard,4.7
2024-03-18,0.597154075776018,0.5370843989769821,1.81,0,0.060069676799035854,Andy Murray,Matteo Berrettini,Hard,4.99
2024-03-18,0.598148172222638,0.5396419437340154,1.8,0,0.058506228488622636,Matteo Arnaldi,Arthur Fils,Hard,4.79
2024-03-18,0.8304898257773983,0.7254098360655737,1.34,1,0.10507998971182453,Christopher O'Connell,Vit Kopriva,Hard,16.6
2024-03-18,0.6568039738622085,0.5521628498727736,1.76,1,0.10464112398943481,Alex Michelsen,Lukas Klein,Hard,10.26
2024-03-18,0.7325082384321088,0.5205128205128204,1.87,1,0.21199541791928833,Sebastian Ofner,Kei Nishikori,Hard,21.25
2024-03-18,0.7755374985642859,0.7237113402061855,1.34,1,0.05182615835810034,Gael Monfils,Dusan Lajovic,Hard,5.77
2024-03-18,0.7651424040160708,0.6445497630331753,1.5,1,0.12059264098289546,Alexander Shevchenko,Daniel Elahi Galan,Hard,14.77
2024-03-18,0.8264025769119072,0.7755834829443448,1.25,1,0.050819093967562456,Felix Auger-Aliassime,Adam Walton,Hard,6.6
2024-03-18,0.7121167198878743,0.607843137254902,1.6,0,0.10427358263297226,Alejandro Tabilo,Brandon Nakashima,Hard,11.62
2024-03-18,0.7845165055935326,0.6574074074074074,1.48,0,0.12710909818612515,Martin Landaluce,Jaume Munar,Hard,16.78
2024-03-18,0.11255744216781413,0.038665655799848486,25.36,0,0.07389178636796565,Tomas Machac,Darwin Blanch,Hard,3.81
2024-03-18,0.7245321191720431,0.6697038724373577,1.45,1,0.05482824673468534,Marton Fucsovics,Max Purcell,Hard,5.62
2024-03-18,0.6421094477108913,0.5885286783042394,1.65,0,0.05358076940665191,Flavio Cobolli,Yoshihito Nishioka,Hard,4.58
2024-03-18,0.8554651886831092,0.6398104265402844,1.52,0,0.21565476214282475,Soonwoo Kwon,Alexandre Muller,Hard,28.88
2024-03-18,0.723218138600378,0.5717884130982368,1.7,0,0.15142972550214118,Juncheng Shang,Miomir Kecmanovic,Hard,16.39
2024-04-01,0.7844856290157383,0.647196261682243,1.51,0,0.13728936733349528,Cristian Garin,Nuno Borges,Clay,18.1
2024-04-01,0.7475302599792061,0.6778523489932886,1.44,1,0.06967791098591747,Hubert Hurkacz,Cristian Garin,Clay,8.69
2024-04-01,0.7298942118907028,0.6455399061032865,1.51,1,0.08435430578741632,Matteo Berrettini,Lorenzo Sonego,Clay,10.01
2024-04-01,0.3790231427398262,0.3114035087719298,3.14,0,0.06761963396789639,Pedro Martinez,Richard Gasquet,Clay,4.44
2024-04-01,0.6279357490145432,0.5518987341772151,1.77,1,0.07603701483732805,Pavel Kotov,Fabio Fognini,Clay,7.24
2024-04-01,0.7203883210805675,0.6605504587155964,1.48,1,0.05983786236497113,Mariano Navone,Aleksandar Vukic,Clay,6.89
2024-04-01,0.5688360977144247,0.5115089514066495,1.91,0,0.057327146307775134,Frances Tiafoe,Luciano Darderi,Clay,4.75
2024-04-01,0.7442583254349551,0.6865342163355409,1.42,1,0.05772410909941417,Matteo Berrettini,Mariano Navone,Clay,6.77
2024-04-01,0.3367191699391065,0.27835051546391765,3.5,0,0.05836865447518885,Tomas Martin Etcheverry,Michael Mmoh,Clay,3.57
2024-04-01,0.5855926342922837,0.5280612244897959,1.85,1,0.05753140980248783,Ben Shelton,Frances Tiafoe,Clay,4.9
2024-04-08,0.644394312969705,0.5778894472361809,1.68,1,0.0665048657335241,Francisco Cerundolo,Daniel Altmaier,Clay,6.07
2024-04-08,0.2196521151224298,0.09523809523809534,10.26,0,0.12441401988433445,Grigor Dimitrov,Valentin Vacherot,Clay,6.77
2024-04-08,0.7569217078472639,0.6704805491990847,1.44,1,0.08644115864817914,Arthur Fils,Yannick Hanfmann,Clay,10.22
2024-04-08,0.6726036967853949,0.5645569620253165,1.72,1,0.10804673476007842,Zhizhen Zhang,Marcos Giron,Clay,10.89
2024-04-08,0.2017664882224156,0.11783439490445857,8.31,0,0.08393209331795703,Alexander Zverev,Sebastian Ofner,Clay,4.63
2024-04-08,0.6109528123246958,0.5555555555555556,1.76,0,0.0553972567691402,Stefanos Tsitsipas,Alexander Zverev,Clay,4.95
2024-04-08,0.5029481648813353,0.4444444444444444,2.2,0,0.058503720436890894,Stefanos Tsitsipas,Casper Ruud,Clay,4.44
2024-04-08,0.8514589608478937,0.7999999999999999,1.22,1,0.05145896084789381,Novak Djokovic,Lorenzo Musetti,Clay,8.81
2024-04-08,0.7043638201876167,0.6246913580246914,1.52,1,0.07967246216292523,Ugo Humbert,Lorenzo Sonego,Clay,6.79
2024-04-15,0.7598183742314355,0.6455399061032865,1.51,1,0.11427846812814901,Brandon Nakashima,Daniel Evans,Clay,14.44
2024-04-15,0.6900511900913604,0.5192802056555269,1.87,1,0.1707709844358335,Nick Hardt,Martin Landaluce,Clay,16.69
2024-04-15,0.5860237358955265,0.4807197943444731,2.02,0,0.10530394155105338,Marco Trungelliti,Duje Ajdukovic,Clay,9.01
2024-04-15,0.7193650441487031,0.5845771144278606,1.67,0,0.13478792972084241,Dusan Lajovic,Arthur Fils,Clay,15.03
2024-04-15,0.7888281984438942,0.7254098360655737,1.34,1,0.06341836237832044,Matteo Arnaldi,Arthur Cazaux,Clay,8.39
2024-04-15,0.5108452558523064,0.45408163265306123,2.14,0,0.05676362319924522,Dusan Lajovic,Diego Schwartzman,Clay,4.09
2024-04-15,0.23405080155460256,0.1794871794871795,5.44,1,0.05456362206742307,Cristian Garin,Alexander Zverev,Clay,3.08
2024-04-15,0.7441378751081834,0.6267942583732058,1.56,1,0.11734361673497762,Taylor Fritz,Cristian Garin,Clay,14.36
2024-04-15,0.6875330670253659,0.5885286783042394,1.65,1,0.09900438872112649,Tomas Machac,Juncheng Shang,Clay,10.34
2024-04-15,0.858920091080893,0.8076311605723371,1.21,1,0.051288930508555874,Holger Rune,Marc-Andrea Huesler,Clay,9.36
2024-04-15,0.6719334399231333,0.58,1.68,1,0.0919334399231333,Marton Fucsovics,Mariano Navone,Clay,9.47
2024-04-15,0.6716861210760812,0.5678391959798995,1.72,1,0.10384692509618165,Taylor Fritz,Jack Draper,Clay,10.78
2024-04-15,0.825374060827082,0.6374407582938388,1.53,1,0.18793330253324314,Alejandro Tabilo,Joao Fonseca,Clay,24.79
2024-04-15,0.6325304038167007,0.539440203562341,1.81,1,0.09309020025435966,Marton Fucsovics,Corentin Moutet,Clay,8.94
2024-04-22,0.7427409825616129,0.6612903225806451,1.47,0,0.08145065998096779,Facundo Bagnis,Brandon Nakashima,Clay,9.77
2024-04-22,0.6904544932945513,0.5583756345177665,1.74,0,0.13207885877678482,Mariano Navone,Alexei Popyrin,Clay,13.61
2024-04-22,0.6748160241665332,0.5670886075949367,1.71,1,0.10772741657159646,Jaume Munar,Nuno Borges,Clay,10.84
2024-04-22,0.7891845887941952,0.7193347193347194,1.35,1,0.0698498694594758,Matteo Arnaldi,Christopher O'Connell,Clay,9.34
2024-04-22,0.5457281603634931,0.4629156010230179,2.1,0,0.08281255934047527,Jakub Mensik,Yannick Hanfmann,Clay,6.64
2024-04-22,0.7081208265626324,0.5753768844221105,1.69,1,0.13274394214052188,Pavel Kotov,Albert Ramos-Vinolas,Clay,14.26
2024-04-22,0.8176986490862472,0.7349397590361445,1.32,1,0.08275889005010273,Borna Coric,Benjamin Hassan,Clay,12.4
2024-04-22,0.7057493867054367,0.5583756345177665,1.74,1,0.14737375218767024,Miomir Kecmanovic,Zhizhen Zhang,Clay,15.41
2024-04-22,0.8101675881667134,0.7239263803680982,1.35,0,0.08624120779861522,Felix Auger-Aliassime,Jannik Sinner,Clay,13.39
2024-04-22,0.7006186236541013,0.6140776699029126,1.59,0,0.08654095375118875,Jiri Lehecka,Daniil Medvedev,Clay,9.66
2024-04-22,0.7387839794330181,0.6339712918660287,1.53,0,0.10481268756698936,Pedro Cachin,Sebastian Ofner,Clay,12.3
2024-04-22,0.7481100500602402,0.6240963855421686,1.56,1,0.12401366451807161,Jack Draper,Thanasi Kokkinakis,Clay,14.92
2024-05-06,0.7284179287965514,0.5825,1.67,0,0.1459179287965514,Francesco Passaro,Arthur Rinderknech,Clay,16.15
2024-05-06,0.712137820983814,0.6146341463414634,1.58,0,0.09750367464235055,Aleksandar Vukic,Diego Schwartzman,Clay,10.79
2024-05-06,0.7278592779123572,0.6666666666666667,1.46,1,0.06119261124569042,Pavel Kotov,Alex Michelsen,Clay,6.81
2024-05-06,0.5929338462263968,0.5358974358974359,1.81,1,0.057036410328960896,Miomir Kecmanovic,Brandon Nakashima,Clay,4.52
2024-05-06,0.6861141748512446,0.5753768844221105,1.69,0,0.11073729042913405,Yoshihito Nishioka,Sebastian Ofner,Clay,11.56
2024-05-06,0.7076660164084272,0.5810473815461347,1.68,1,0.12661863486229252,Alejandro Tabilo,Zhizhen Zhang,Clay,13.89
2024-05-06,0.24670056520336017,0.1233333333333334,7.89,0,0.12336723187002677,Jaume Munar,Rinky Hijikata,Clay,6.87
2024-05-06,0.7468602257084632,0.6566125290023201,1.48,1,0.09024769670614308,Stefano Napolitano,J.J. Wolf,Clay,10.97
2024-05-20,0.6952136066232601,0.5703517587939698,1.71,1,0.12486184782929033,Tomas Martin Etcheverry,Luciano Darderi,Clay,13.3
2024-05-20,0.614429356823581,0.5606060606060606,1.74,0,0.05382329621752047,Alexander Bublik,Pavel Kotov,Clay,4.67
2024-05-20,0.9126659578697208,0.8272327964860908,1.18,0,0.08543316138363,Tomas Machac,Novak Djokovic,Clay,21.37
2024-05-26,0.15408740846188895,0.03434343434343434,28.68,0,0.11974397411845461,Novak Djokovic,Pierre-Hugues Herbert,Clay,6.18
2024-05-26,0.8198945417585771,0.744140625,1.31,1,0.07575391675857712,Alexander Zverev,Rafael Nadal,Clay,11.95
2024-05-26,0.2893251401727031,0.20707070707070707,4.71,0,0.08225443310199604,Giulio Zeppieri,Adrian Mannarino,Clay,4.89
2024-05-26,0.227772692100247,0.1323185011709601,7.41,0,0.09545419092928689,Jan-Lennard Struff,Roman Andres Burruchaga,Clay,5.37
2024-05-26,0.20293248515457246,0.11133603238866396,8.78,0,0.0915964527659085,Grigor Dimitrov,Aleksandar Kovacevic,Clay,5.02
2024-05-26,0.2887587691166102,0.1784107946026986,5.48,0,0.1103479745139116,Arthur Rinderknech,Adam Walton,Clay,6.5
2024-05-26,0.7027385962837119,0.5985221674876848,1.63,1,0.1042164287960271,Tomas Machac,Nuno Borges,Clay,11.54
2024-05-26,0.19025659218257004,0.10638297872340419,9.24,0,0.08387361345916586,Luciano Darderi,Rinky Hijikata,Clay,4.6
2024-05-26,0.4488140179800028,0.38498789346246975,2.54,0,0.06382612451753306,Filip Misolic,Otto Virtanen,Clay,4.55
2024-05-26,0.2375224819649723,0.16044260027662516,6.07,0,0.07707988168834715,Lorenzo Musetti,Daniel Elahi Galan,Clay,4.36
2024-05-26,0.2233755058387468,0.12527964205816555,7.82,0,0.09809586378058124,Tommy Paul,Pedro Cachin,Clay,5.48
2024-05-26,0.7160232525671556,0.630071599045346,1.55,0,0.08595165352180956,Flavio Cobolli,Hamad Medjedovic,Clay,9.99
2024-05-26,0.42345886259007254,0.3023758099352052,3.23,1,0.12108305265486735,Richard Gasquet,Borna Coric,Clay,8.25
2024-05-26,0.36711464627048884,0.2905982905982907,3.32,0,0.07651635567219817,Carlos Alcaraz,Alexander Zverev,Clay,4.72
2024-05-26,0.6029701215077539,0.5396419437340154,1.8,0,0.06332817777373845,Matteo Arnaldi,Arthur Fils,Clay,5.33
2024-05-26,0.58765317005868,0.5306122448979591,1.84,0,0.0570409251607209,Alexander Bublik,Gregoire Barrere,Clay,4.84
2024-05-26,0.7184560263250402,0.6116504854368933,1.6,1,0.10680554088814698,Alexandre Muller,Luca Nardi,Clay,12.46
2024-05-26,0.7688830229988621,0.6165048543689321,1.58,0,0.15237816862993003,Kei Nishikori,Gabriel Diallo,Clay,18.52
2024-05-26,0.29132583719874094,0.19516129032258067,4.99,0,0.09616454687616027,Sebastian Korda,Harold Mayot,Clay,5.69
2024-05-26,0.3130312309460795,0.22965641952983729,4.26,0,0.0833748114162422,Fabian Marozsan,Mikhail Kukushkin,Clay,5.12
2024-05-26,0.2244788929019875,0.1576086956521739,6.2,1,0.0668701972498136,Soonwoo Kwon,Emil Ruusuvuori,Clay,3.77
2024-06-10,0.6816947819486813,0.630071599045346,1.55,1,0.05162318290333523,Jack Draper,Brandon Nakashima,Grass,5.15
2024-06-10,0.3156027498230378,0.2230088495575222,4.39,0,0.09259390026551562,Matteo Berrettini,James Duckworth,Grass,5.69
2024-06-10,0.7304626727648634,0.6440281030444965,1.52,0,0.0864345697203669,Arthur Rinderknech,Alex Michelsen,Grass,10.61
2024-06-10,0.635019076293679,0.5667506297229219,1.72,0,0.06826844657075715,Jack Draper,Matteo Berrettini,Grass,6.41
